Div,Team,Oponent,Oponent_HTG,HTG,HTR,Referee,Venue,FTR
E0,Burnley,Leicester,1,1,DRAW,M Oliver,HOME,LOSE
E0,West Ham,Huddersfield,2,1,LOSE,J Moss,HOME,WIN
E0,Everton,Chelsea,0,0,DRAW,A Taylor,HOME,WIN
E0,Fulham,Liverpool,1,0,LOSE,C Pawson,HOME,LOSE
E0,Brighton,Southampton,0,0,DRAW,M Oliver,HOME,LOSE
E0,Burnley,Wolves,0,1,WIN,C Kavanagh,HOME,WIN
E0,Crystal Palace,Huddersfield,0,0,DRAW,L Probert,HOME,WIN
E0,Fulham,Man City,2,0,LOSE,K Friend,HOME,LOSE
E0,Leicester,Bournemouth,0,1,WIN,L Mason,HOME,WIN
E0,Man United,Watford,0,1,WIN,S Attwell,HOME,WIN
E0,West Ham,Everton,2,0,LOSE,P Tierney,HOME,LOSE
E0,Cardiff,Chelsea,0,0,DRAW,C Pawson,HOME,LOSE
E0,Liverpool,Tottenham,0,1,WIN,M Atkinson,HOME,WIN
E0,Arsenal,Newcastle,0,1,WIN,A Taylor,HOME,WIN
E0,Watford,Fulham,1,1,DRAW,R East,HOME,WIN
E0,Wolves,Man United,1,1,DRAW,M Dean,HOME,WIN
E0,Chelsea,Brighton,0,1,WIN,G Scott,HOME,WIN
E0,Man City,Cardiff,0,2,WIN,J Moss,HOME,WIN
E0,Tottenham,Crystal Palace,0,0,DRAW,A Marriner,HOME,WIN
E0,Southampton,Liverpool,1,1,DRAW,P Tierney,HOME,LOSE
E0,Bournemouth,Burnley,2,1,LOSE,M Atkinson,HOME,LOSE
E0,Huddersfield,Leicester,1,0,LOSE,D Coote,HOME,LOSE
E0,Newcastle,Crystal Palace,0,0,DRAW,S Attwell,HOME,LOSE
E0,Everton,Arsenal,0,1,WIN,K Friend,HOME,WIN
E0,Chelsea,West Ham,0,1,WIN,C Kavanagh,HOME,WIN
E0,Leicester,Newcastle,1,0,LOSE,C Kavanagh,HOME,LOSE
E0,Brighton,Bournemouth,1,0,LOSE,K Friend,HOME,LOSE
E0,Burnley,Cardiff,0,1,WIN,M Dean,HOME,WIN
E0,Fulham,Everton,0,0,DRAW,L Probert,HOME,WIN
E0,Man United,West Ham,0,1,WIN,G Scott,HOME,WIN
E0,Southampton,Wolves,1,2,WIN,J Moss,HOME,WIN
E0,Tottenham,Huddersfield,0,2,WIN,L Mason,HOME,WIN
E0,Crystal Palace,Man City,1,0,LOSE,M Atkinson,HOME,LOSE
E0,Liverpool,Chelsea,0,0,DRAW,M Oliver,HOME,WIN
E0,Watford,Arsenal,1,0,LOSE,C Pawson,HOME,LOSE
E0,Brighton,Cardiff,1,0,LOSE,A Marriner,HOME,LOSE
E0,Bournemouth,Fulham,0,0,DRAW,D Coote,HOME,LOSE
